Job Name,Job Location,Company Name
Virtual Assistants,"Remote in Begumpet, Hyderabad, Telangana",Giftech Software Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Purchase Executive Female,"Kukatpalli, Hyderabad, Telangana",Recomax engineering pvt ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Virtual Assistants,"Remote in Begumpet, Hyderabad, Telangana",Giftech Software Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
